index,latitude,longitude,chi,elevation,flow distance,drainage area,m_chi,b_chi,source_key,basin_key,segmented_elevation,segment_number,Geology,GeoCode
351606,46.0863026,25.841249,18.761,586.0,562640.0,1383100000.0,51.109,-373.62,10111,102,585.25,14765,ne,15.0
351607,46.0854928,25.841266,18.754,586.0,562550.0,1383400000.0,51.109,-373.62,10111,102,584.89,14765,ne,15.0
351608,46.0846711,25.8401191,18.744,584.0,562420.0,1383800000.0,51.109,-373.62,10111,102,584.39,14765,ne,15.0
351609,46.0838613,25.8401361,18.737,584.0,562330.0,1383900000.0,51.109,-373.62,10111,102,584.04,14765,ne,15.0
351610,46.0830514,25.8401531,18.731,584.0,562240.0,1383900000.0,51.109,-373.62,10111,102,583.68,14765,ne,15.0
351611,46.0822416,25.84017,18.724,584.0,562150.0,1383900000.0,51.109,-373.62,10111,102,583.33,14765,ne,15.0
351612,46.0814199,25.8390232,18.714,584.0,562030.0,1384000000.0,51.109,-373.62,10111,102,582.83,14765,ne,15.0
351613,46.08061,25.8390402,18.707,581.0,561940.0,1384500000.0,51.109,-373.62,10111,102,582.47,14765,ne,15.0
351614,46.0798002,25.8390572,18.7,581.0,561850.0,1384500000.0,51.109,-373.62,10111,102,582.12,14765,ne,15.0
351615,46.0789903,25.8390742,18.693,579.0,561760.0,1384500000.0,51.109,-373.62,10111,102,581.77,14765,ne,15.0
351616,46.0781968,25.8402548,18.683,579.0,561630.0,1421000000.0,51.109,-373.62,10111,102,581.27,14765,ne,15.0
351617,46.0773751,25.8391081,18.674,579.0,561500.0,1421100000.0,51.109,-373.62,10111,102,580.77,14765,ne,15.0
351618,46.0765653,25.8391251,18.667,579.0,561410.0,1421200000.0,51.109,-373.62,10111,102,580.42,14765,ne,15.0
351619,46.0757436,25.8379788,18.657,579.0,561280.0,1421200000.0,51.109,-373.62,10111,102,579.93,14765,ne,15.0
351620,46.0749219,25.8368322,18.647,579.0,561160.0,1421500000.0,51.109,-373.62,10111,102,579.43,14765,ne,15.0
351621,46.0741002,25.835686,18.638,579.0,561030.0,1421600000.0,51.109,-373.62,10111,102,578.94,14765,ne,15.0
351622,46.0732785,25.8345394,18.628,579.0,560900.0,1421700000.0,51.109,-373.62,10111,102,578.44,14765,ne,15.0
351623,46.0724568,25.8333929,18.618,578.01,560770.0,1421700000.0,51.109,-373.62,10111,102,577.95,14765,ne,15.0
351624,46.071635,25.8322468,18.609,578.0,560650.0,1423800000.0,51.109,-373.62,10111,102,577.45,14765,ne,15.0
351625,46.0708252,25.8322638,18.602,578.0,560560.0,1425100000.0,51.109,-373.62,10111,102,577.1,14765,ne,15.0
351626,46.0700034,25.8311178,18.592,578.0,560430.0,1425200000.0,51.109,-373.62,10111,102,576.61,14765,ne,15.0
351627,46.0691936,25.8311349,18.585,578.0,560340.0,1425200000.0,51.109,-373.62,10111,102,576.26,14765,ne,15.0
